user_id,activity_date,sessions,session_duration_minutes,workflows_created,automations_run,retention_event
U108299,2025-01-28,1,11.86,0,0,False
U108299,2025-01-31,1,1.5,0,0,True
U108299,2025-02-07,1,18.53,0,0,False
U108299,2025-03-06,3,22.69,0,0,False
U108299,2025-04-11,1,15.44,0,0,False
U108299,2025-04-15,1,17.3,0,0,False
U108299,2025-05-20,1,1.5,0,0,False
U108299,2025-10-10,1,13.32,0,0,False
U104315,2025-01-01,3,29.14,0,0,False
U104315,2025-01-05,3,33.94,0,0,False
U104315,2025-01-15,1,16.25,1,1,True
U104315,2025-01-16,1,6.6,0,0,False
U104315,2025-01-22,1,3.8,0,0,False
U104315,2025-01-24,2,30.9,0,0,False
U104315,2025-01-30,1,8.85,0,0,False
U104315,2025-01-31,3,37.19,0,0,True
U104315,2025-03-04,2,27.27,0,0,False
U104315,2025-03-13,2,16.42,0,0,False
U104315,2025-03-17,2,13.52,0,0,False
U104315,2025-03-19,1,17.96,0,0,False
U104315,2025-03-23,2,20.44,0,0,False
U104315,2025-04-09,3,24.91,0,0,False
U104315,2025-05-13,1,12.56,0,0,False
U104315,2025-05-16,1,15.14,1,2,True
U104315,2025-06-23,2,30.95,0,0,False
U104315,2025-06-28,1,5.86,0,0,False
U104315,2025-08-07,4,37.74,0,0,False
U104315,2025-10-23,1,16.91,1,4,True
U102731,2025-01-25,2,16.51,1,2,True
U102731,2025-04-10,3,9.41,0,0,False
U102731,2025-06-14,1,2.65,0,0,False
U102731,2025-07-01,1,8.69,0,0,False
U102731,2025-10-21,3,4.5,0,0,False
U102731,2025-12-14,2,16.55,0,0,False
U101221,2025-01-21,3,10.65,0,0,False
U101221,2025-02-11,1,10.49,1,4,True
U101221,2025-02-28,1,12.21,0,0,False
U101221,2025-03-24,1,1.5,0,0,False
U101221,2025-04-07,1,9.06,0,0,False
U101221,2025-12-19,1,7.36,0,0,False
U101221,2025-12-22,1,1.88,0,0,False
U101221,2025-12-25,1,8.71,0,0,False
U100647,2025-01-06,2,22.84,0,0,False
U100647,2025-01-24,1,19.63,0,0,False
U100647,2025-05-07,2,37.75,0,0,False
U100647,2025-05-15,4,54.55,0,0,False
U100647,2025-05-21,1,16.4,0,0,False
U100647,2025-06-03,1,8.49,0,0,False
U100647,2025-07-24,1,12.14,0,0,False
U100647,2025-08-07,3,40.64,0,0,False
U100647,2025-08-18,2,27.22,0,1,True
U100647,2025-11-21,6,111.32,0,0,False
U103877,2025-01-12,2,59.6,0,0,False
U103877,2025-01-15,4,63.18,0,0,True
U103877,2025-01-25,2,35.12,0,0,False
U103877,2025-01-30,1,27.39,0,0,False
U103877,2025-02-03,2,44.32,0,0,False
U103877,2025-02-05,2,46.0,0,0,False
U103877,2025-02-19,1,21.22,1,2,True
U103877,2025-02-20,3,89.5,0,0,False
U103877,2025-03-03,3,42.53,0,0,False
U103877,2025-03-04,1,22.64,1,1,True
