cohort_month,months_since_signup,active_users,cohort_size,retention_rate
2025-01-01,0,748,1244,0.6012861736334405
2025-01-01,1,949,1244,0.7628617363344051
2025-01-01,2,920,1244,0.7395498392282959
2025-01-01,3,886,1244,0.7122186495176849
2025-01-01,4,837,1244,0.6728295819935691
2025-01-01,5,766,1244,0.6157556270096463
2025-01-01,6,733,1244,0.5892282958199357
2025-01-01,7,680,1244,0.5466237942122186
2025-01-01,8,630,1244,0.5064308681672026
2025-01-01,9,613,1244,0.4927652733118971
2025-01-01,10,534,1244,0.4292604501607717
2025-01-01,11,585,1244,0.4702572347266881
2025-02-01,0,652,1143,0.5704286964129484
2025-02-01,1,924,1143,0.8083989501312336
2025-02-01,2,882,1143,0.7716535433070866
2025-02-01,3,832,1143,0.7279090113735783
2025-02-01,4,758,1143,0.663167104111986
2025-02-01,5,740,1143,0.647419072615923
2025-02-01,6,668,1143,0.584426946631671
2025-02-01,7,605,1143,0.5293088363954506
2025-02-01,8,564,1143,0.49343832020997375
2025-02-01,9,556,1143,0.4864391951006124
2025-02-01,10,514,1143,0.44969378827646544
2025-03-01,0,658,1103,0.5965548504079783
2025-03-01,1,899,1103,0.815049864007253
2025-03-01,2,836,1103,0.7579329102447869
2025-03-01,3,783,1103,0.7098821396192203
2025-03-01,4,753,1103,0.6826835902085222
2025-03-01,5,681,1103,0.6174070716228468
2025-03-01,6,647,1103,0.586582048957389
2025-03-01,7,622,1103,0.5639165911151405
2025-03-01,8,558,1103,0.5058930190389845
2025-03-01,9,530,1103,0.48050770625566636
2025-04-01,0,600,1000,0.6
2025-04-01,1,801,1000,0.801
2025-04-01,2,757,1000,0.757
2025-04-01,3,736,1000,0.736
2025-04-01,4,664,1000,0.664
2025-04-01,5,640,1000,0.64
2025-04-01,6,588,1000,0.588
2025-04-01,7,530,1000,0.53
2025-04-01,8,534,1000,0.534
2025-05-01,0,522,880,0.5931818181818181
2025-05-01,1,693,880,0.7875
2025-05-01,2,658,880,0.7477272727272727
2025-05-01,3,639,880,0.7261363636363637
2025-05-01,4,579,880,0.6579545454545455
2025-05-01,5,557,880,0.6329545454545454
2025-05-01,6,514,880,0.5840909090909091
2025-05-01,7,487,880,0.553409090909091
2025-06-01,0,413,684,0.6038011695906432
2025-06-01,1,563,684,0.8230994152046783
2025-06-01,2,515,684,0.7529239766081871
2025-06-01,3,494,684,0.7222222222222222
2025-06-01,4,464,684,0.6783625730994152
2025-06-01,5,428,684,0.6257309941520468
2025-06-01,6,397,684,0.5804093567251462
2025-07-01,0,355,580,0.6120689655172413
2025-07-01,1,468,580,0.8068965517241379
2025-07-01,2,455,580,0.7844827586206896
2025-07-01,3,417,580,0.7189655172413794
2025-07-01,4,395,580,0.6810344827586207
2025-07-01,5,366,580,0.6310344827586207
2025-08-01,0,260,461,0.5639913232104121
2025-08-01,1,369,461,0.8004338394793926
2025-08-01,2,348,461,0.754880694143167
2025-08-01,3,320,461,0.6941431670281996
2025-08-01,4,305,461,0.6616052060737527
2025-09-01,0,236,403,0.5856079404466501
2025-09-01,1,324,403,0.8039702233250621
2025-09-01,2,310,403,0.7692307692307693
2025-09-01,3,293,403,0.7270471464019851
2025-10-01,0,211,349,0.6045845272206304
2025-10-01,1,283,349,0.8108882521489972
2025-10-01,2,265,349,0.7593123209169055
2025-11-01,0,182,325,0.56
2025-11-01,1,273,325,0.84
2025-12-01,0,197,328,0.600609756097561
