segment,acquisition_channel,users,activation_rate,paid_conversion_rate,avg_active_days,avg_automations,revenue,avg_cac,revenue_per_user
Ops Manager,Referral,432,0.5902777777777778,0.2037037037037037,18.800925925925927,9.731481481481481,27494.0,12.19074074074074,63.64351851851852
Ops Manager,Organic Search,675,0.4622222222222222,0.10518518518518519,13.023703703703704,4.641481481481481,18612.0,17.059348148148146,27.573333333333334
Founder,Organic Search,735,0.4108843537414966,0.08299319727891157,11.778231292517006,4.069387755102041,18341.0,17.696816326530612,24.95374149659864
Ops Manager,Paid Search,526,0.34980988593155893,0.0741444866920152,10.093155893536121,2.5779467680608366,16449.0,20.147661596958176,31.271863117870723
Founder,Referral,404,0.5148514851485149,0.13613861386138615,16.245049504950494,6.7772277227722775,14656.0,15.19049504950495,36.277227722772274
Sales Team,Referral,306,0.49673202614379086,0.10130718954248366,13.07516339869281,4.6797385620915035,10642.0,16.772222222222222,34.77777777777778
Founder,Paid Search,581,0.3270223752151463,0.05163511187607573,8.941480206540447,2.3459552495697076,9539.0,23.749810671256455,16.418244406196212
Ops Manager,Content,226,0.5176991150442478,0.12389380530973451,14.199115044247788,5.867256637168142,8484.0,16.145530973451326,37.53982300884956
Marketing Team,Referral,234,0.4188034188034188,0.08547008547008547,11.64102564102564,3.8290598290598292,6774.0,17.775213675213674,28.94871794871795
Sales Team,Organic Search,519,0.3140655105973025,0.04431599229287091,9.53757225433526,2.4566473988439306,5979.0,22.696589595375723,11.520231213872833
Ops Manager,Partnership,123,0.5121951219512195,0.18699186991869918,16.495934959349594,7.471544715447155,5651.0,12.068455284552845,45.94308943089431
Sales Team,Content,179,0.39106145251396646,0.07262569832402235,11.312849162011172,3.6983240223463687,5603.0,18.291731843575416,31.30167597765363
Founder,Content,209,0.48325358851674644,0.08133971291866028,12.866028708133971,4.698564593301436,5018.0,17.265933014354065,24.00956937799043
Ops Manager,Social,332,0.3042168674698795,0.03614457831325301,8.33433734939759,1.8674698795180722,4503.0,22.705060240963856,13.563253012048193
Founder,Partnership,103,0.4563106796116505,0.1262135922330097,15.019417475728156,6.12621359223301,3862.0,14.011941747572816,37.49514563106796
Sales Team,Paid Search,399,0.22305764411027568,0.022556390977443608,7.330827067669173,1.4661654135338347,3459.0,28.852030075187972,8.669172932330827
Marketing Team,Organic Search,366,0.3360655737704918,0.05737704918032787,8.642076502732241,2.1311475409836067,3095.0,23.99483606557377,8.456284153005464
Founder,Social,355,0.23380281690140844,0.022535211267605635,7.211267605633803,1.2929577464788733,2618.0,27.391352112676056,7.374647887323944
Marketing Team,Paid Search,342,0.24561403508771928,0.03508771929824561,6.804093567251462,1.1783625730994152,2570.0,30.527368421052632,7.514619883040936
Marketing Team,Content,144,0.3472222222222222,0.041666666666666664,10.222222222222221,2.375,1360.0,19.58388888888889,9.444444444444445
Student / Hobby,Organic Search,212,0.10849056603773585,0.009433962264150943,5.297169811320755,0.7405660377358491,782.0,44.4733962264151,3.688679245283019
Marketing Team,Partnership,73,0.3287671232876712,0.0410958904109589,8.67123287671233,2.0547945205479454,729.0,19.103424657534244,9.986301369863014
Sales Team,Partnership,79,0.4430379746835443,0.0379746835443038,11.987341772151899,3.7721518987341773,708.0,18.195316455696204,8.962025316455696
Sales Team,Social,246,0.18699186991869918,0.008130081300813009,6.861788617886178,0.9552845528455285,691.0,30.403536585365856,2.8089430894308944
Student / Hobby,Referral,116,0.19827586206896552,0.034482758620689655,6.370689655172414,0.9568965517241379,306.0,34.49086206896552,2.6379310344827585
Student / Hobby,Social,113,0.1592920353982301,0.008849557522123894,5.017699115044247,0.6194690265486725,228.0,56.03132743362832,2.017699115044248
Marketing Team,Social,184,0.25,0.016304347826086956,6.434782608695652,1.0380434782608696,209.0,39.288423913043474,1.1358695652173914
Student / Hobby,Partnership,35,0.2,0.02857142857142857,6.914285714285715,0.6285714285714286,114.0,33.722,3.257142857142857
Student / Hobby,Content,77,0.24675324675324675,0.0,5.51948051948052,0.8571428571428571,0.0,43.58337662337662,0.0
Student / Hobby,Paid Search,175,0.16,0.0,4.72,0.4685714285714286,0.0,60.43714285714286,0.0
